,GAN,GAN_Feat,VGG,D_Fake,D_real
15500,3.6978445053100586,2.0650877952575684,1.169119954109192,0.3233037292957306,0.1188206821680069
15600,4.31552267074585,3.142971992492676,1.8829768896102905,0.8760367631912231,0.04366031661629677
15700,3.2509799003601074,2.3674800395965576,1.2273439168930054,0.40659311413764954,0.09867480397224426
15800,6.871021270751953,3.574204444885254,1.804368495941162,0.004183201584964991,1.2169488668441772
15900,6.089288711547852,3.116077184677124,1.493805170059204,0.007530084811151028,0.194940447807312
16000,6.953224182128906,2.4786536693573,1.2468749284744263,0.021225856617093086,1.3568699359893799
16100,5.118111610412598,3.1087026596069336,1.5318033695220947,0.18769679963588715,0.05251607298851013
16200,5.487597465515137,3.209336042404175,1.676231861114502,0.2799895405769348,0.05493658781051636
16300,5.154836177825928,2.7645082473754883,1.4279382228851318,0.023396994918584824,0.11464650928974152
16400,5.118561744689941,3.084172487258911,1.7480791807174683,0.15855726599693298,0.4002573490142822
16500,5.303714752197266,2.6396563053131104,1.182753562927246,0.13684771955013275,0.32941436767578125
16600,4.954061508178711,3.003697633743286,1.633562445640564,0.21128244698047638,0.0434751994907856
16700,4.029282569885254,2.901233673095703,1.389315128326416,0.15660355985164642,0.28972259163856506
16800,5.346750736236572,3.193192720413208,1.461841106414795,0.49490663409233093,0.2898727357387543
16900,6.165788650512695,3.5037379264831543,1.6017347574234009,0.2818152606487274,0.002232956700026989
17000,4.86802864074707,2.9407527446746826,1.533359169960022,1.156784176826477,0.35876527428627014
